Pokemon Id,Pokedex Number,Pokemon Name,Classification,Alternate Form Name,Original Pokemon ID,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Special Event Ability,Special Event Ability Description,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Region of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details
42,151,"""Mew""","""New Species Pokemon""",NULL,NULL,"""Mythical""",0.4,4.0,"""Psychic""",NULL,"""Synchronize""","""The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.""",NULL,NULL,NULL,NULL,NULL,NULL,0,0,100,"""Red / Blue / Yellow""","""Kanto""",100,100,100,100,0,100,500,3,0,0,0,0,0,3,45,"""Medium Slow""",1059860,270,"""Undiscovered""",NULL,120,NULL,NULL
43,150,"""Mewtwo""","""Genetic Pokemon""",NULL,NULL,"""Legendary""",2.0,122.0,"""Psychic""",NULL,"""Pressure""","""By putting pressure on the opposing Pokémon, it raises their PP usage.""",NULL,NULL,"""Unnerve""","""Unnerves opposing Pokémon and makes them unable to eat Berries.""",NULL,NULL,0,0,0,"""Red / Blue / Yellow""","""Kanto""",106,110,90,154,0,130,590,0,0,0,3,0,0,3,3,"""Slow""",1250000,306,"""Undiscovered""",NULL,120,NULL,NULL
44,150,"""Mewtwo""","""Genetic Pokemon""","""Mega X""",43,"""Legendary""",2.3,127.0,"""Psychic""",NULL,"""Steadfast""","""The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.""",NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,"""X / Y""","""Kalos""",106,190,100,154,100,130,780,0,0,0,3,0,0,3,3,"""Slow""",1250000,351,"""Undiscovered""",NULL,120,NULL,NULL
45,150,"""Mewtwo""","""Genetic Pokemon""","""Mega Y""",43,"""Legendary""",1.5,33.0,"""Psychic""",NULL,"""Insomnia""","""The Pokémon is suffering from insomnia and cannot fall asleep.""",NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,"""X / Y""","""Kalos""",106,150,70,194,120,140,780,0,0,0,3,0,0,3,3,"""Slow""",1250000,351,"""Undiscovered""",NULL,120,NULL,NULL
46,81,"""Magnemite""","""Magnet Pokemon""",NULL,NULL,NULL,0.3,6.0,"""Electric""","""Steel""","""Magnet Pull""","""Prevents Steel-type Pokémon from escaping using its magnetic force.""","""Sturdy""","""It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.""","""Analytic""","""Boosts move power when the Pokémon moves last.""",NULL,NULL,0,0,70,"""Red / Blue / Yellow""","""Kanto""",25,35,70,95,0,45,270,0,0,0,1,0,0,1,190,"""Medium Fast""",1000000,65,"""Mineral""",NULL,20,NULL,NULL
47,100,"""Voltorb""","""Ball Pokemon""",NULL,NULL,NULL,0.5,10.5,"""Electric""",NULL,"""Soundproof""","""Soundproofing gives the Pokémon full immunity to all sound-based moves.""","""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""","""Aftermath""","""Damages the attacker if it contacts the Pokémon with a finishing hit.""",NULL,NULL,0,0,70,"""Red / Blue / Yellow""","""Kanto""",40,30,50,55,0,100,275,0,0,0,0,0,1,1,190,"""Medium Fast""",1000000,66,"""Mineral""",NULL,20,NULL,NULL
48,32,"""Nidoran (Male)""","""Poison Pin Pokemon""",NULL,NULL,NULL,0.5,9.0,"""Poison""",NULL,"""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",NULL,NULL,100,0,70,"""Red / Blue / Yellow""","""Kanto""",46,57,40,40,0,50,233,0,1,0,0,0,0,1,235,"""Medium Slow""",1059860,55,"""Monster""","""Field""",20,NULL,NULL
49,33,"""Nidorino""","""Poison Pin Pokemon""",NULL,NULL,NULL,0.9,19.5,"""Poison""",NULL,"""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",NULL,NULL,100,0,70,"""Red / Blue / Yellow""","""Kanto""",61,72,57,55,0,65,310,0,2,0,0,0,0,2,120,"""Medium Slow""",1059860,128,"""Monster""","""Field""",20,48,"""Level 16"""
50,34,"""Nidoking""","""Drill Pokemon""",NULL,NULL,NULL,1.4,62.0,"""Poison""","""Ground""","""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Sheer Force""","""Removes additional effects to increase the power of moves when attacking.""",NULL,NULL,100,0,70,"""Red / Blue / Yellow""","""Kanto""",81,102,77,85,75,85,505,0,3,0,0,0,0,3,45,"""Medium Slow""",1059860,227,"""Monster""","""Field""",20,49,"""Moon Stone"""
51,173,"""Cleffa""","""Star Shape Pokemon""",NULL,NULL,NULL,0.3,3.0,"""Fairy""",NULL,"""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Magic Bounce""","""Reflects status moves instead of getting hit by them.""","""Friend Guard""","""Reduces damage done to allies.""",NULL,NULL,25,75,140,"""Gold / Silver / Crystal""","""Johto""",50,25,28,45,55,15,218,0,0,0,0,1,0,1,150,"""Fast""",800000,44,"""Undiscovered""",NULL,10,NULL,NULL
52,35,"""Clefairy""","""Fairy Pokemon""",NULL,NULL,NULL,0.6,7.5,"""Fairy""",NULL,"""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Magic Guard""","""The Pokémon only takes damage from attacks.""","""Friend Guard""","""Reduces damage done to allies.""",NULL,NULL,25,75,140,"""Red / Blue / Yellow""","""Kanto""",70,45,48,60,0,35,258,2,0,0,0,0,0,2,150,"""Fast""",800000,113,"""Fairy""",NULL,20,51,NULL
53,36,"""Clefable""","""Fairy Pokemon""",NULL,NULL,NULL,1.3,40.0,"""Fairy""",NULL,"""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Magic Guard""","""The Pokémon only takes damage from attacks.""","""Unaware""","""When attacking, the Pokémon ignores the target Pokémon's stat changes.""",NULL,NULL,25,75,140,"""Red / Blue / Yellow""","""Kanto""",95,70,73,95,90,60,483,3,0,0,0,0,0,3,25,"""Fast""",800000,217,"""Fairy""",NULL,10,52,"""Moon Stone"""
