pokemon_name,pokedex_number,pokemon_id,classification,pokemon_height,pokemon_weight,primary_type,secondary_type,pre_evo_id,evo_details,primary_ability,primary_ability_desc,secondary_ability,secondary_ability_desc,hidden_ability,hidden_ability_desc,health_stat,attack_stat,defense_stat,special_attack_stat,special_defense_stat,speed_stat,base_stat_total
Nidoqueen,31,18,Drill Pokémon,1.3,60,Poison,Ground,17,Moon Stone,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,90,92,87,75,85,76,505
Infernape,392,19,Flame Pokémon,1.2,55,Fire,Fighting,35,Level 36,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Iron Fist,Powers up punching moves.,76,104,71,104,71,108,534
Shinx,403,20,Flash Pokémon,0.5,9.5,Electric,,,,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,45,65,34,40,34,45,263
Luxio,404,21,Spark Pokémon,0.9,30.5,Electric,,20,Level 15,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,60,85,49,60,49,60,363
Luxray,405,22,Gleam Eyes Pokémon,1.4,42,Electric,,21,Level 30,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,80,120,79,95,79,70,523
Metapod,11,23,Cocoon Pokémon,0.7,9.9,Bug,,32,Level 7,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,,,,,50,20,55,25,25,30,205
Butterfree,12,24,Butterfly Pokémon,1.1,32,Bug,Flying,23,Level 10,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,,,Tinted Lens,The Pokémon can use not very effective moves to deal regular damage.,60,45,50,90,80,70,395
Honedge,679,25,Sword Pokémon,0.8,2,Steel,Ghost,,,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,,,,,45,80,100,35,37,28,325
Doublade,680,26,Sword Pokémon,0.8,4.5,Steel,Ghost,25,Level 35,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,,,,,59,110,150,45,49,35,448
Beedrill,15,27,Poison Bee Pokémon,1,29.5,Bug,Poison,30,Level 10,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,,,Sniper,Powers up moves if they become critical hits when attacking.,65,90,40,45,80,75,395
Mega Beedrill,15,28,Poison Bee Pokémon,1.4,40.5,Bug,Poison,,,Adaptability,Powers up moves of the same type as the Pokémon.,,,,,65,150,40,15,80,145,495
Ditto,132,29,Transform Pokémon,0.3,4,Normal,,,,Limber,Its limber body protects the Pokémon from paralysis.,,,Imposter,The Pokémon transforms itself into the Pokémon it's facing.,48,48,48,48,48,48,288
Kakuna,14,30,Cocoon Pokémon,0.6,10,Bug,Poison,31,Level 7,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,,,,,45,25,50,25,25,35,205
Weedle,13,31,Hairy Bug Pokémon,0.3,3.2,Bug,Poison,,,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,,,Run Away,Enables a sure getaway from wild Pokémon.,40,35,30,20,20,50,195
Caterpie,10,32,Worm Pokémon,0.3,2.9,Bug,,,,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,,,Run Away,Enables a sure getaway from wild Pokémon.,45,30,35,20,20,45,195
Nidoran (Female),29,33,Poison Pin Pokémon,0.4,7,Poison,,,,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",55,47,52,40,40,41,275
Chimchar,390,34,Chimp Pokémon,0.5,6.2,Fire,,,,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Iron Fist,Powers up punching moves.,44,58,44,58,44,61,309
Monferno,391,35,Playful Pokémon,0.9,22,Fire,Fighting,34,Level 14,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Iron Fist,Powers up punching moves.,64,78,52,78,52,81,405
Phione,489,36,Sea Drifter Pokémon,0.4,3.1,Water,,,,Hydration,Heals status conditions if it's raining.,,,,,80,80,80,80,80,80,480
Manaphy,490,37,Seafaring Pokémon,0.3,1.4,Water,,,,Hydration,Heals status conditions if it's raining.,,,,,100,100,100,100,100,100,600
Kubfu,891,38,Wushu Pokémon,0.6,12,Fighting,,,,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",,,,,60,90,60,53,50,72,385
Urshifu,892,39,Wushu Pokémon,1.9,105,Fighting,Dark,38,Conquer the Tower of Darkness in Galar's Isle of Armor,Unseen Fist,"The Pokémon can deal damage with moves that make physical contact, even if the target is protected.",,,,,100,130,100,63,60,97,550
Rapid Strike Urshifu,892,40,Wushu Pokémon,1.9,105,Fighting,Water,38,Conquer the Tower of Waters in Galar's Isle of Armor,Unseen Fist,"The Pokémon can deal damage with moves that make physical contact, even if the target is protected.",,,,,100,130,100,63,60,97,550
Calyrex,898,41,King Pokémon,1.1,7.7,Psychic,Grass,,,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,,,,,100,80,80,80,80,80,500
Mew,151,42,New Species Pokémon,0.4,4,Psychic,,,,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",,,,,100,100,100,100,100,100,600
Mewtwo,150,43,Genetic Pokémon,2,122,Psychic,,,,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",,,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,106,110,90,154,90,130,680
Mega X Mewtwo,150,44,Genetic Pokémon,2.3,127,Psychic,,,,Steadfast,The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.,,,,,106,190,100,154,100,130,780
Mega Y Mewtwo,150,45,Genetic Pokémon,1.5,33,Psychic,,,,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,,,,,106,150,70,194,120,140,780
Magnemite,81,46,Magnet Pokémon,0.3,6,Electric,Steel,,,Magnet Pull,Prevents Steel-type Pokémon from escaping using its magnetic force.,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Analytic,Boosts move power when the Pokémon moves last.,25,35,70,95,55,45,325
Voltorb,100,47,Ball Pokémon,0.5,10.5,Electric,,,,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",Aftermath,Damages the attacker if it contacts the Pokémon with a finishing hit.,40,30,50,55,55,100,330
Nidoran (Male),32,48,Poison Pin Pokémon,0.5,9,Poison,,,,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",46,57,40,40,40,50,273
Nidorino,33,49,Poison Pin Pokémon,0.9,19.5,Poison,,48,Level 16,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",61,72,57,55,55,65,365
Nidoking,34,50,Drill Pokémon,1.4,62,Poison,Ground,49,Moon Stone,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,81,102,77,85,75,85,505
Cleffa,173,51,Star Shape Pokémon,0.3,3,Fairy,,,,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Bounce,Reflects status moves instead of getting hit by them.,Friend Guard,Reduces damage done to allies.,50,25,28,45,55,15,218
Clefairy,35,52,Fairy Pokémon,0.6,7.5,Fairy,,51,,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Guard,The Pokémon only takes damage from attacks.,Friend Guard,Reduces damage done to allies.,70,45,48,60,65,35,323
Clefable,36,53,Fairy Pokémon,1.3,40,Fairy,,52,Moon Stone,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Guard,The Pokémon only takes damage from attacks.,Unaware,"When attacking, the Pokémon ignores the target Pokémon's stat changes.",95,70,73,95,90,60,483
Vulpix,37,54,Fox Pokémon,0.6,9.9,Fire,,,,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,,,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,38,41,40,50,65,65,299
Alola Vulpix,37,55,Fox Pokémon,0.6,9.9,Ice,,,,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.,38,41,40,50,65,65,299
Ninetales,38,56,Fox Pokémon,1.1,19.9,Fire,,54,Fire Stone,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,,,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,73,76,75,81,100,100,505
Alola Ninetales,38,57,Fox Pokémon,1.1,19.9,Ice,Fairy,55,Ice Stone,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.,73,67,75,81,100,109,505
Igglybuff,174,58,Balloon Pokémon,0.3,1,Normal,Fairy,,,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Friend Guard,Reduces damage done to allies.,90,30,15,40,20,15,210
Jigglypuff,39,59,Balloon Pokémon,0.5,5.5,Normal,Fairy,58,,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Friend Guard,Reduces damage done to allies.,115,45,20,45,25,20,270
Wigglytuff,40,60,Balloon Pokémon,1,12,Normal,Fairy,59,Moon Stone,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",140,70,45,85,50,45,435
Zubat,41,61,Bat Pokémon,0.8,7.5,Poison,Flying,,,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",,,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",40,45,35,30,40,55,245
Golbat,42,62,Bat Pokémon,1.6,55,Poison,Flying,61,Level 22,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",,,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",75,80,70,65,75,95,460
Crobat,169,63,Bat Pokémon,1.8,75,Poison,Flying,62,,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",,,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",85,90,80,70,80,130,535
Oddish,43,64,Weed Pokémon,0.5,5.4,Grass,Poison,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,,,Run Away,Enables a sure getaway from wild Pokémon.,45,50,55,75,65,30,320
Gloom,44,65,Weed Pokémon,0.8,8.6,Grass,Poison,64,Level 21,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,,,Stench,"By releasing stench when attacking, this Pokémon may cause the target to flinch.",60,65,70,85,75,40,395
Vileplume,45,66,Flower Pokémon,1.2,18.6,Grass,Poison,65,Leaf Stone,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,,,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",75,80,85,110,90,50,490
Bellossom,182,67,Flower Pokémon,0.4,5.8,Grass,,65,Sun Stone,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,,,Healer,Sometimes heals an ally's status condition.,75,80,95,90,100,50,490
Paras,46,68,Mushroom Pokémon,0.3,5.4,Bug,Grass,,,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",35,70,55,45,55,25,285
Parasect,47,69,Mushroom Pokémon,1,29.5,Bug,Grass,68,Level 24,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",60,95,80,60,80,30,405
Venonat,48,70,Insect Pokémon,1,30,Bug,Poison,,,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,Tinted Lens,The Pokémon can use not very effective moves to deal regular damage.,Run Away,Enables a sure getaway from wild Pokémon.,60,55,50,40,55,45,305
Venomoth,49,71,Poison Moth Pokémon,1.5,12.5,Bug,Poison,70,Level 31,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,Tinted Lens,The Pokémon can use not very effective moves to deal regular damage.,Wonder Skin,Makes status moves more likely to miss.,70,65,60,90,75,90,450
Diglett,50,72,Mole Pokémon,0.2,0.8,Ground,,,,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Arena Trap,Prevents opposing Pokémon from fleeing.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",10,55,25,35,45,95,265
Dugtrio,51,73,Mole Pokémon,0.7,33.3,Ground,,72,Level 26,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Arena Trap,Prevents opposing Pokémon from fleeing.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",35,100,50,50,70,120,425
Alola Diglett,50,74,Mole Pokémon,0.2,1,Ground,Steel,,,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",10,55,30,35,45,90,265
Alola Dugtrio,51,75,Mole Pokémon,0.7,66.6,Ground,Steel,74,Level 26 In Alola,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",35,100,60,50,70,110,425
Pidgey,16,76,Tiny Bird Pokémon,0.3,1.8,Normal,Flying,,,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,40,45,40,35,35,56,251
Pidgeotto,17,77,Bird Pokémon,1.1,30,Normal,Flying,76,Level 18,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,63,60,55,50,50,71,349
Pidgeot,18,78,Bird Pokémon,1.5,39.5,Normal,Flying,77,Level 36,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,83,80,75,70,70,101,479
Mega Pidgeot,18,79,Bird Pokémon,2.2,50.5,Normal,Flying,,,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,,,,,83,80,80,135,80,121,579
Rattata,19,80,Mouse Pokémon,0.3,3.5,Normal,,,,Run Away,Enables a sure getaway from wild Pokémon.,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Hustle,"Boosts the Attack stat, but lowers accuracy.",30,56,35,25,35,72,253
Alola Rattata,19,81,Mouse Pokémon,0.3,3.8,Dark,Normal,,,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",30,56,35,25,35,72,253
Raticate,20,82,Mouse Pokémon,0.7,18.5,Normal,,80,Level 20,Run Away,Enables a sure getaway from wild Pokémon.,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Hustle,"Boosts the Attack stat, but lowers accuracy.",55,81,60,50,70,97,413
Alola Raticate,20,83,Mouse Pokémon,0.7,25.5,Dark,Normal,81,Level 20,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",75,71,70,40,80,77,413
Spearow,21,84,Tiny Bird Pokémon,0.3,2,Normal,Flying,,,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,,,Sniper,Powers up moves if they become critical hits when attacking.,40,60,30,31,31,70,262
Fearow,22,85,Beak Pokémon,1.2,38,Normal,Flying,84,Level 20,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,,,Sniper,Powers up moves if they become critical hits when attacking.,65,90,65,61,61,100,442
Ekans,23,86,Snake Pokémon,2,6.9,Poison,,,,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,35,60,44,40,54,55,288
Arbok,24,87,Cobra Pokémon,3.5,65,Poison,,86,Level 22,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,60,95,69,65,79,80,448
Pichu,172,88,Tiny Mouse Pokémon,0.3,2,Electric,,,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",20,40,15,35,35,60,205
Pikachu,25,89,Mouse Pokémon,0.4,6,Electric,,88,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",35,55,40,50,50,90,320
Raichu,26,90,Mouse Pokémon,0.8,30,Electric,,89,Thunder Stone,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",60,90,55,90,80,110,485
Alola Raichu,26,91,Mouse Pokémon,0.7,21,Electric,Psychic,89,Thunder Stone In Alola,Surge Surfer,Doubles the Pokémon's Speed stat on Electric Terrain.,,,,,60,85,50,95,85,110,485
Sandshrew,27,92,Mouse Pokémon,0.6,12,Ground,,,,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,,,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.,50,75,85,20,30,40,300
Alola Sandshrew,27,93,Mouse Pokémon,0.7,40,Ice,Steel,,,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,50,75,90,10,35,40,300
Sandslash,28,94,Mouse Pokémon,1,29.5,Ground,,92,Level 22,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,,,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.,75,100,110,45,55,65,450
Alola Sandslash,28,95,Mouse Pokémon,1.2,55,Ice,Steel,93,Ice Stone,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,75,100,120,25,65,65,450
Meowth,52,96,Scratch Cat Pokémon,0.4,4.2,Normal,,,,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",Technician,Powers up the Pokémon's weaker moves.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,40,45,35,40,40,90,290
Alola Meowth,52,97,Scratch Cat Pokémon,0.4,4.2,Dark,,,,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",Technician,Powers up the Pokémon's weaker moves.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",40,35,35,50,40,90,290
Galar Meowth,52,98,Scratch Cat Pokémon,0.4,7.5,Steel,,,,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",Tough Claws,Powers up moves that make direct contact. ,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,50,65,55,40,40,40,290
Perrserker,863,99,Viking Pokémon,0.8,28,Steel,,98,Level 28,Battle Armor,Hard armor protects the Pokémon from critical hits.,Tough Claws,Powers up moves that make direct contact. ,Steely Spirit,Powers up ally Pokémon's Steel-type moves.,70,110,100,50,60,50,440
Persian,53,100,Classy Cat Pokémon,1,32,Normal,,96,Level 28,Limber,Its limber body protects the Pokémon from paralysis.,Technician,Powers up the Pokémon's weaker moves.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,65,70,60,65,65,115,440
Alola Persian,53,101,Classy Cat Pokémon,1.1,33,Dark,,97,,Fur Coat,Halves the damage from physical moves.,Technician,Powers up the Pokémon's weaker moves.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",65,60,60,75,65,115,440
Psyduck,54,102,Duck Pokémon,0.8,19.6,Water,,,,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Cloud Nine,Eliminates the effects of weather.,Swift Swim,Boosts the Pokémon's Speed stat in rain.,50,52,48,65,50,55,320
Electrode,101,105,Ball Pokémon,1.2,66.6,Electric,,47,Level 30,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",Aftermath,Damages the attacker if it contacts the Pokémon with a finishing hit.,60,50,70,80,80,150,490
Exeggcute,102,136,Egg Pokémon,0.4,2.5,Grass,Psychic,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,,,Harvest,May create another Berry after one is used.,60,40,80,60,45,40,325
Exeggutor,103,137,Coconut Pokémon,2,120,Grass,Psychic,136,Leaf Stone,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,,,Harvest,May create another Berry after one is used.,95,95,85,125,75,55,530
